"Link","Year","rank","School","City","State","Division","Level","Conference","Conf_Div","Power_Conference"
"https://s3media.247sports.com/Uploads/Assets/817/966/7966817.png",2010,NA,"Appalachian State","Boone","North Carolina",1,"FCS","FCS",NA,0
"https://s3media.247sports.com/Uploads/Assets/817/966/7966817.png",2011,133,"Appalachian State","Boone","North Carolina",1,"FCS","FCS",NA,0
"https://s3media.247sports.com/Uploads/Assets/817/966/7966817.png",2012,125,"Appalachian State","Boone","North Carolina",1,"FCS","FCS",NA,0
"https://s3media.247sports.com/Uploads/Assets/817/966/7966817.png",2013,125,"Appalachian State","Boone","North Carolina",1,"FCS","FCS",NA,0
"https://s3media.247sports.com/Uploads/Assets/817/966/7966817.png",2014,87,"Appalachian State","Boone","North Carolina",1,"FBS","Sun Belt Conference",NA,0
"https://s3media.247sports.com/Uploads/Assets/817/966/7966817.png",2015,114,"Appalachian State","Boone","North Carolina",1,"FBS","Sun Belt Conference",NA,0
"https://s3media.247sports.com/Uploads/Assets/817/966/7966817.png",2016,109,"Appalachian State","Boone","North Carolina",1,"FBS","Sun Belt Conference",NA,0
"https://s3media.247sports.com/Uploads/Assets/817/966/7966817.png",2017,107,"Appalachian State","Boone","North Carolina",1,"FBS","Sun Belt Conference",NA,0
"https://s3media.247sports.com/Uploads/Assets/817/966/7966817.png",2018,113,"Appalachian State","Boone","North Carolina",1,"FBS","Sun Belt Conference","SunBelt_East",0
"https://s3media.247sports.com/Uploads/Assets/817/966/7966817.png",2019,100,"Appalachian State","Boone","North Carolina",1,"FBS","Sun Belt Conference","SunBelt_East",0
"https://s3media.247sports.com/Uploads/Assets/433/649/4649433.png",2010,58,"Arizona","Tucson","Arizona",1,"FBS","Pac-10 Conference",NA,1
"https://s3media.247sports.com/Uploads/Assets/433/649/4649433.png",2011,48,"Arizona","Tucson","Arizona",1,"FBS","Pac-12 Conference","PAC12_South",1
"https://s3media.247sports.com/Uploads/Assets/433/649/4649433.png",2012,42,"Arizona","Tucson","Arizona",1,"FBS","Pac-12 Conference","PAC12_South",1
"https://s3media.247sports.com/Uploads/Assets/433/649/4649433.png",2013,44,"Arizona","Tucson","Arizona",1,"FBS","Pac-12 Conference","PAC12_South",1
"https://s3media.247sports.com/Uploads/Assets/433/649/4649433.png",2014,31,"Arizona","Tucson","Arizona",1,"FBS","Pac-12 Conference","PAC12_South",1
"https://s3media.247sports.com/Uploads/Assets/433/649/4649433.png",2015,43,"Arizona","Tucson","Arizona",1,"FBS","Pac-12 Conference","PAC12_South",1
"https://s3media.247sports.com/Uploads/Assets/433/649/4649433.png",2016,48,"Arizona","Tucson","Arizona",1,"FBS","Pac-12 Conference","PAC12_South",1
"https://s3media.247sports.com/Uploads/Assets/433/649/4649433.png",2017,45,"Arizona","Tucson","Arizona",1,"FBS","Pac-12 Conference","PAC12_South",1
"https://s3media.247sports.com/Uploads/Assets/433/649/4649433.png",2018,61,"Arizona","Tucson","Arizona",1,"FBS","Pac-12 Conference","PAC12_South",1
"https://s3media.247sports.com/Uploads/Assets/433/649/4649433.png",2019,56,"Arizona","Tucson","Arizona",1,"FBS","Pac-12 Conference","PAC12_South",1
"https://s3media.247sports.com/Uploads/Assets/891/472/8472891.png",2010,40,"Arizona State","Tempe","Arizona",1,"FBS","Pac-10 Conference",NA,1
